Fac Id,Region,Name,Address 1,Address 2,City,Zip 5,County,Fac Type,Ceds Fac Id,State
3000916,NVRO,Wingate by Windham Springfield,6550 Loisdale Ct,,Springfield,22150,Fairfax County,COMMERCIAL,2.00E+11,VA
3002459,NVRO,"BETCO BLOCK & PRODUCTS, INC",5291 Wellington Branch Dr,,Gainesville,20155,Prince William County,CONTRACTOR,2.00E+11,VA
3018725,NVRO,Bethlehem Baptist Church,4601 West Ox Rd,,Fairfax,22030,Fairfax County,OTHER,2.00E+11,VA
3002212,NVRO,Executive Moving Systems,1250 Featherstone Rd,,Woodbridge,22191,Prince William County,TRUCKING TRANSPORT,2.00E+11,VA
3009640,NVRO,BERNS JOHN J,12321 Old Mill Rd,,Midland,22728,Fauquier County,UNKNOWN,2.00E+11,VA
3024550,NVRO,BERNSTEIN ASSOC,2120 Jefferson Davis Hwy,,Stafford,22554,Stafford County,COMMERCIAL,2.00E+11,VA
3001584,NVRO,BERGMANNS INC,2147 Lee Hwy,,Arlington,22201,Arlington County,COMMERCIAL,2.00E+11,VA
3001313,NVRO,George W Biscoe Jr,8324 Belmont Rd,,Spotsylvania,22553,Spotsylvania County,UNKNOWN,2.00E+11,VA
3001587,NVRO,BISHOP IRETON HIGH SCHOOL,201 Cambridge Rd,,Alexandria,22314,Alexandria City,COMMERCIAL,2.00E+11,VA
3003495,NVRO,Bill Page Honda,6715 Arlington Blvd,,Falls Church,22042,Fairfax County,AUTO DEALER,2.00E+11,VA
3003496,NVRO,BILL PAGE TOYOTA INC,2923 Annandale Rd,,Falls Church,22042,Fairfax County,AUTO DEALER,2.00E+11,VA
3015041,NVRO,BETTER TERMITE & PEST CONTROL,2647 Duke St,,Alexandria,22231,Alexandria City,COMMERCIAL,2.00E+11,VA
3013319,NVRO,C Hicks dba Bettys Inn,22169 Tidewater Trl,,Rappahannock Academy,22538,Caroline County,GAS STATION,2.00E+11,VA
3026048,NVRO,BEVIS TRUCK REPAIR,7397 Ward Park Ln,,Springfield,22150,Fairfax County,COMMERCIAL,2.00E+11,VA
3001990,NVRO,THOMAS BLAKELEY,Route 4 Box 105B,,King George,22485,King George County,UNKNOWN,2.00E+11,VA
3000818,NVRO,Blakemore - Caroline Asphalt Plant,Route 1,,Doswell,23047,Caroline County,CONTRACTOR,2.00E+11,VA
3001586,NVRO,Bingham and Taylor Corporation,601 Nalle Pl,,Culpeper,22701,Culpeper County,COMMERCIAL,2.00E+11,VA
3019878,NVRO,BOB PECK AUTO BODY,1415 N Danville St,,Arlington,22201,Arlington County,AUTO DEALER,2.00E+11,VA
3000032,NVRO,BOB PECK CHEV,800 N Glebe Rd,,Arlington,22203,Arlington County,AUTO DEALER,2.00E+11,VA
3011097,NVRO,BOBS SERVICE CENTER,620 Lafayette Blvd,,Fredericksburg,22401,Fredericksburg City,COMMERCIAL,2.00E+11,VA
3013320,NVRO,BLATTS STORE,Main St,,Milford,22514,Caroline County,GAS STATION,2.00E+11,VA
3001314,NVRO,BLUE RIDGE AIRCRAFT INC,,,Leesburg,22075,Loudoun County,AIRCRAFT,2.00E+11,VA
3011867,NVRO,Blue Ridge Grocery,1908 Zachary Taylor Hwy,,Huntly,22640,Rappahannock County,GAS STATION,2.00E+11,VA
3003440,NVRO,BMW OF FAIRFAX,2924 Prosperity Ave,,Fairfax,22031,Fairfax County,COMMERCIAL,2.00E+11,VA
3006332,NVRO,BL 94,600 Lafayette Blvd,,Fredericksburg,22401,Fredericksburg City,GAS STATION,2.00E+11,VA
3003216,NVRO,BOOTH PROPERTY,9308 Richmond Hwy,,Lorton,22079,Fairfax County,GAS STATION,2.00E+11,VA
3005086,NVRO,BOOTSIES BEAUTY BOUTIQUE,603 Kenmore Ave,,Fredericksburg,22401,Fredericksburg City,COMMERCIAL,2.00E+11,VA
3013776,NVRO,CHARLIE BORNE,,,Fredericksburg,22405,Stafford County,UNKNOWN,2.00E+11,VA
3010536,NVRO,Element Critical,7990 Quantum Dr,,Vienna,22182,Fairfax County,COMMERCIAL,2.00E+11,VA
